Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM1957048,whOrg1_B12_hOrg33d_c2,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456546,SRX1456546,Gray Camp,7-Dec-15
GSM1957049,whOrg1_B1_hOrg33d_c2,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456547,SRX1456547,Gray Camp,7-Dec-15
GSM1957050,whOrg1_B6_hOrg33d_c2,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456548,SRX1456548,Gray Camp,7-Dec-15
GSM1957051,whOrg1_B7_hOrg33d_c2,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456549,SRX1456549,Gray Camp,7-Dec-15
GSM1957052,whOrg1_C10_hOrg33d_c2,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456550,SRX1456550,Gray Camp,7-Dec-15
GSM1957053,whOrg1_C11_hOrg33d_c2,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456551,SRX1456551,Gray Camp,7-Dec-15
GSM1957054,whOrg1_C8_hOrg33d_c2,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456552,SRX1456552,Gray Camp,7-Dec-15
GSM1957055,whOrg1_D2_hOrg33d_c2,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456553,SRX1456553,Gray Camp,7-Dec-15
GSM1957056,whOrg1_F1_hOrg33d_c2,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456554,SRX1456554,Gray Camp,7-Dec-15
GSM1957057,whOrg1_F6_hOrg33d_c2,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456555,SRX1456555,Gray Camp,7-Dec-15
GSM1957058,whOrg1_G10_hOrg33d_c1,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456556,SRX1456556,Gray Camp,7-Dec-15
GSM1957059,whOrg1_G11_hOrg33d_c1,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456557,SRX1456557,Gray Camp,7-Dec-15
GSM1957060,whOrg1_G12_hOrg33d_c1,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456558,SRX1456558,Gray Camp,7-Dec-15
GSM1957061,whOrg1_G1_hOrg33d_c1,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456559,SRX1456559,Gray Camp,7-Dec-15
GSM1957062,whOrg1_G2_hOrg33d_c1,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456560,SRX1456560,Gray Camp,7-Dec-15
GSM1957063,whOrg1_G3_hOrg33d_c1,SRA,Homo sapiens,1,GPL16791,GSE75140,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1456561,SRX1456561,Gray Camp,7-Dec-15
